1, REQ-1: KeePass must be downloaded and installed
2, REQ-2: Master Password has no limits in length. A whole sentence can be used with more than 100 characters.
3, Folder selected must be of type the database can read and that is “name”.kdb
4, Databases must have different names or else the previews one will be replace if selected
5, There must be entries in the database in order for them to be printed
6, All data related to the word must be shown. For example if user types “abc” and abc is part of a password and of a username, both entries must be shown
7, A name is required in order for the new group/subgroup to be created
8, A subgroup cannot be created when no group is selected
9, A name is required in order for the group/subgroup to be renamed
10, In order to find something in a group a word must be placed in the find field
11, An entry must belong to a group to be created
12, When the password field is completed the repeat password field must be completed
13, REQ-13: Password field and repeat password field must be identical
14, ìAn entry must be selected to be viewed or modified
15, ìWhen the password field is changed the repeat password field must beChanged and be identical with password field
16, An entry must be selected before it is duplicated
18, REQ-18: An internet connection and a browser are required in order to download new language translationsFor the following features, use cases are not included
19, The prefix “Auto-Type:” is required in front of each sequence
20, Sequence’s length must not be more than a line (59 characters)
21, If two auto-types are referred in one note field, only the first is used
22, Only one database file is allowed in command line options
23, In case a space is found in the path, it must be enclosed into quotes
24, If a master password is required to unlock the database, the database doesn’topen unless the password is entered
25, If a key file is required to unlock the database, the database doesn’t open unless the key file is present
26, If there is a composite key, both master password and key file are required
27, In case of lost master password or key file, the database never unlocks again. There is no recovery
28, There is no backdoor or key that unlocks all databases
29, REQ-29: File formats are not specialized password database formats
30, REQ-30: File formats only specify a low-level layout of stored data
31, Global hot key cannot be changed
32, Title, username or URL cannot be changed in a TAN entry.
33, When a TAN is used, it expires automatically and can never be used again.
